normal_freq,range,phase,stellar_anchor,element,harmonics,disease_states_CFS,disease_states_fibromyalgia,frequency_name,category,disease_states_SIDS
10.0,"[8.0, 12.0]",0.0,Sol,Fe,"[5, 10, 20, 40]",0.1,8.0,mitochondria,biological_system,
100.0,"[80.0, 120.0]",0.0,,,"[50, 100, 200]",20.0,,ATP_synthase,biological_system,
0.5,"[0.4, 0.6]",0.0,,,[],0.05,,cellular_respiration,biological_system,
1.54,"[1.0, 2.0]",0.0,Sol,Fe,[],1.2,,heart,biological_system,0.0
10.0,"[8.0, 12.0]",0.0,Alpha_Centauri,C,[],6.0,6.0,brain_alpha,biological_system,
40.0,"[30.0, 50.0]",0.0,,,[],25.0,25.0,brain_gamma,biological_system,
1.16e-05,"[1e-05, 1.3e-05]",0.0,Sol,,[],8e-06,,circadian,biological_system,
7.83,"[7.5, 8.0]",0.0,Earth,,[],,,schumann,biological_system,
20.0,"[18.0, 22.0]",0.0,,,[],,5.0,spinal_gate,biological_system,
0.5,"[0.3, 0.7]",0.0,,,[],,2.5,c_fiber,biological_system,
5.0,"[2.0, 7.0]",0.0,,,[],1.0,,gut_oscillations,biological_system,
0.1,"[0.05, 0.2]",0.0,,,[],0.01,,bacterial_quorum,biological_system,
7.83,"[7.047000000000001, 8.613000000000001]",0.0,,,[],,,pineal,biological_system,
7.83,"[7.047000000000001, 8.613000000000001]",0.0,,,[],,,pancreas,biological_system,
7.83,"[7.047000000000001, 8.613000000000001]",0.0,,,[],,,thymus,biological_system,
0.0011,"[0.00099, 0.0012100000000000001]",0.0,,,[],,,healthy,biological_system,
0.1,"[0.09000000000000001, 0.11000000000000001]",0.0,,,[],,,macrophages,biological_system,
0.05,"[0.045000000000000005, 0.05500000000000001]",0.0,,,[],,,t-helper_cells,biological_system,
0.02,"[0.018000000000000002, 0.022000000000000002]",0.0,,,[],,,b-cells,biological_system,
1.0,"[0.9, 1.1]",0.0,,,[],,,nk_cells,biological_system,
0.033,"[0.0297, 0.036300000000000006]",0.0,,,[],,,pituitary,biological_system,
0.001,"[0.0009000000000000001, 0.0011]",0.0,,,[],,,thyroid,biological_system,
0.0003,"[0.00027, 0.00033]",0.0,,,[],,,adrenals,biological_system,
2.3e-07,"[2.07e-07, 2.53e-07]",0.0,,,[],,,gonads,biological_system,
0.01,"[0.009000000000000001, 0.011000000000000001]",0.0,,,[],,,lymphocytes,biological_system,
0.05,"[0.045000000000000005, 0.05500000000000001]",0.0,,,[],,,dendritic_cells,biological_system,
10.0,"[9.0, 11.0]",0.0,,,[],,,neutrophils,biological_system,
7.83,"[7.047000000000001, 8.613000000000001]",0.0,,,[],,,END-06-P,biological_system,
0.0011,"[0.00099, 0.0012100000000000001]",0.0,,,[],,,END-06-PC,biological_system,
7.83,"[7.047000000000001, 8.613000000000001]",0.0,,,[],,,END-06-T,biological_system,
0.033,"[0.0297, 0.036300000000000006]",0.0,,,[],,,END-06-PT,biological_system,
7.83,"[7.047000000000001, 8.613000000000001]",0.0,,,[],,,END-06-TH,biological_system,
0.0003,"[0.00027, 0.00033]",0.0,,,[],,,END-06-AD,biological_system,
2.3e-07,"[2.07e-07, 2.53e-07]",0.0,,,[],,,END-06-GO,biological_system,
0.01,"[0.009000000000000001, 0.011000000000000001]",0.0,,,[],,,IMM-09-LY,biological_system,
0.1,"[0.09000000000000001, 0.11000000000000001]",0.0,,,[],,,IMM-09-MA,biological_system,
1.0,"[0.9, 1.1]",0.0,,,[],,,IMM-09-NK,biological_system,
0.05,"[0.045000000000000005, 0.05500000000000001]",0.0,,,[],,,IMM-09-DC,biological_system,
10.0,"[9.0, 11.0]",0.0,,,[],,,IMM-09-NE,biological_system,
40.0,"[36.0, 44.0]",0.0,,,[],,,neural_field,biological_system,
40.0,"[36.0, 44.0]",0.0,,,[],,,interference,biological_system,
0.5,"[0.45, 0.55]",0.0,,,[],,,horizontal,biological_system,
0.8,"[0.7200000000000001, 0.8800000000000001]",0.0,,,[],,,anterior,biological_system,
0.6,"[0.54, 0.66]",0.0,,,[],,,posterior,biological_system,
13.0,"[11.700000000000001, 14.3]",0.0,,,[],,,limonene,biological_system,
13.0,"[11.700000000000001, 14.3]",0.0,,,[],,,vanillin,biological_system,
13.0,"[11.700000000000001, 14.3]",0.0,,,[],,,geosmin,biological_system,
13.0,"[11.700000000000001, 14.3]",0.0,,,[],,,carvone,biological_system,
13.0,"[11.700000000000001, 14.3]",0.0,,,[],,,benzaldehyde,biological_system,
13.0,"[11.700000000000001, 14.3]",0.0,,,[],,,skatole,biological_system,
14.0,"[12.6, 15.400000000000002]",0.0,,,[],,,melanocytes,biological_system,
100.0,"[90.0, 110.00000000000001]",0.0,,,[],,,schwann_cells,biological_system,
0.2,"[0.18000000000000002, 0.22000000000000003]",0.0,,,[],,,adrenal_medulla,biological_system,
0.05,"[0.045000000000000005, 0.05500000000000001]",0.0,,,[],,,enteric_neurons,biological_system,
1.5,"[1.35, 1.6500000000000001]",0.0,,,[],,,cardiac_neurons,biological_system,
50.0,"[45.0, 55.00000000000001]",0.0,,,[],,,craniofacial_bones,biological_system,
200.0,"[180.0, 220.00000000000003]",0.0,,,[],,,odontoblasts,biological_system,
11.0,"[9.9, 12.100000000000001]",0.0,,,[],,,sol,biological_system,
11.3,"[10.170000000000002, 12.430000000000001]",0.0,,,[],,,arcturus,biological_system,
50.0,"[45.0, 55.00000000000001]",0.0,,,[],,,sirius,biological_system,
26.0,"[23.400000000000002, 28.6]",0.0,,,[],,,vega,biological_system,
0.1,"[0.09000000000000001, 0.11000000000000001]",0.0,,,[],,,betelgeuse,biological_system,
100.0,"[90.0, 110.00000000000001]",0.0,,,[],,,rigel,biological_system,
7.83,"[7.047000000000001, 8.613000000000001]",0.0,,,[],,,polaris,biological_system,
0.001,"[0.0009000000000000001, 0.0011]",0.0,,,[],,,zygote,biological_system,
0.01,"[0.009000000000000001, 0.011000000000000001]",0.0,,,[],,,morula,biological_system,
0.05,"[0.045000000000000005, 0.05500000000000001]",0.0,,,[],,,blastula,biological_system,
0.1,"[0.09000000000000001, 0.11000000000000001]",0.0,,,[],,,gastrula,biological_system,
