total_signatures,discovery_date,research_classification,temperature_range,frequency_range,record_id,frequency,pattern,formation_mechanism,temperature_optimal,crystallization,cymatic_nodes,golden_ratio_factor,symmetry,bond_angle,frequencies,primary_beat,secondary_beats,complexity,ratio_relationships,component,anchor,formation_temperature,stability_range,chain_length,bond_strength,stability_function,calculation,mechanism,temperature_dependence,transitions,function,pattern_type,wave_equation,wavelength,nodes,membrane_thickness,stability_nodes,angle,cell_count,formation,spacing,assembly_sites,range,propagation_speed,cell_geometry,efficiency,antinodes,fundamental,harmonics,elements,progression,ratios,formation_epoch,frequency_ratio,golden_factor,relationship,significance
47.0,2025-08-31,PRM00-COMPLETE,200-373K,0.18-22.87Hz,primordial_chemistry_frequencies_metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-186,1.86,H-O beat frequency,Hydrogen(0.18Hz) + Oxygen(2.04Hz) interference,325.0,hexagonal_close_packed,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-051,0.51,Helium stabilization,Noble gas structural template,300.0,stabilized_liquid,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-372,3.72,First harmonic of H-O beat,2 × 1.86Hz harmonic resonance,350.0,extended_hexagonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-558,5.58,Second harmonic of H-O beat,3 × 1.86Hz harmonic resonance,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-HEX-060,1.86,Hexagonal ice template,60-degree phase relationships,,,,,6-fold,109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-HEX-120,3.72,Double hexagonal,120-degree extended symmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-TRI-077,0.77,Lithium triangular template,Li(0.77Hz) ionic organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-TET-109,1.09,Beryllium tetrahedral,Be(1.09Hz) 4-coordinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-PEN-128,1.28,Boron pentagonal,B(1.28Hz) electron deficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-SOL-SERIES,,Sol anchor harmonic progression,Primary structural elements,,,,,,,"[0.18, 1.53, 1.79, 2.04, 3.58, 3.83, 4.09]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-BEAT-COMPLEX,,Multi-frequency interference,,,,,,,,,1.86,"[0.33, 0.51, 0.26]",advanced_cymatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-GOLDEN-RATIO,1.86,,,,,,,,,,,,,"[{'elements': 'H-O', 'ratio': 11.33, 'golden_factor': 7.0}, {'elements': 'Li-O', 'ratio': 2.65, 'golden_factor': 1.64}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-PHO-204,2.04,,,,,,,,,,,,,,Phospholipid head group,Sol-Oxygen,310.0,280-340K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-CAR-153,1.53,,,,,,,,,,,,,,Fatty acid carbon chain,Sol-Carbon,295.0,,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
